Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Steven Adams,0,27,NOP,27,27,28.1,3.5,5.8,0.603,0.0,0.0,0.0,3.5,5.7,0.606,0.603,1.1,2.3,0.46799999999999997,4.3,4.6,8.9,2.1,1.0,0.6,1.7,1.9,8.0,15.9,0.5920000000000001,0.006,0.397,16.9,18.0,17.5,10.1,1.7,2.0,20.1,12.8,1.2,0.5,1.7,0.109,-0.1,-1.0,-1.1,0.2
Bam Adebayo,0,23,MIA,26,26,33.6,7.4,12.9,0.573,0.1,0.2,0.4,7.3,12.7,0.5760000000000001,0.5760000000000001,5.1,6.0,0.841,1.9,7.3,9.2,5.3,1.0,1.0,3.0,2.6,19.9,22.7,0.6409999999999999,0.015,0.469,6.8,23.2,15.4,27.9,1.4,3.2,16.2,24.6,2.3,1.3,3.6,0.196,2.9,2.0,4.9,1.5
LaMarcus Aldridge,0,35,SAS,18,18,26.7,5.9,12.5,0.47600000000000003,1.3,3.7,0.358,4.6,8.8,0.525,0.529,0.9,1.2,0.762,0.8,3.5,4.3,1.9,0.4,0.9,0.9,1.5,14.1,15.2,0.542,0.298,0.09300000000000001,3.2,14.0,8.4,11.4,0.7,2.8,6.4,22.3,0.2,0.5,0.7,0.075,0.3,-1.0,-0.7,0.2
Jarrett Allen,0,22,TOT,28,10,26.2,4.4,6.8,0.642,0.0,0.1,0.25,4.3,6.6,0.6509999999999999,0.645,3.6,4.7,0.758,2.9,6.1,9.0,1.6,0.5,1.6,1.5,1.6,12.3,22.5,0.695,0.021,0.695,12.6,25.5,19.1,9.0,0.9,5.5,14.8,17.1,2.3,0.8,3.1,0.203,2.3,0.4,2.7,0.9
Jarrett Allen,0,22,TOT,28,10,26.2,4.4,6.8,0.642,0.0,0.1,0.25,4.3,6.6,0.6509999999999999,0.645,3.6,4.7,0.758,2.9,6.1,9.0,1.6,0.5,1.6,1.5,1.6,12.3,21.3,0.73,0.0,0.938,14.2,28.8,21.9,8.2,1.0,4.9,19.3,15.4,1.0,0.4,1.4,0.21,1.3,0.6,1.9,0.3
Jarrett Allen,0,22,TOT,28,10,26.2,4.4,6.8,0.642,0.0,0.1,0.25,4.3,6.6,0.6509999999999999,0.645,3.6,4.7,0.758,2.9,6.1,9.0,1.6,0.5,1.6,1.5,1.6,12.3,23.5,0.675,0.032,0.568,11.4,23.0,17.0,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,0.19699999999999998,3.2,0.2,3.4,0.6
Jarrett Allen,0,22,BRK,12,5,26.7,3.7,5.4,0.677,0.0,0.0,0.0,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,22.5,0.695,0.021,0.695,12.6,25.5,19.1,9.0,0.9,5.5,14.8,17.1,2.3,0.8,3.1,0.203,2.3,0.4,2.7,0.9
Jarrett Allen,0,22,BRK,12,5,26.7,3.7,5.4,0.677,0.0,0.0,0.0,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,21.3,0.73,0.0,0.938,14.2,28.8,21.9,8.2,1.0,4.9,19.3,15.4,1.0,0.4,1.4,0.21,1.3,0.6,1.9,0.3
Jarrett Allen,0,22,BRK,12,5,26.7,3.7,5.4,0.677,0.0,0.0,0.0,3.7,5.4,0.677,0.677,3.8,5.1,0.754,3.2,7.3,10.4,1.7,0.6,1.6,1.8,1.8,11.2,23.5,0.675,0.032,0.568,11.4,23.0,17.0,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,0.19699999999999998,3.2,0.2,3.4,0.6
Jarrett Allen,0,22,CLE,16,5,25.9,4.9,7.8,0.624,0.1,0.3,0.25,4.8,7.6,0.636,0.628,3.4,4.4,0.7609999999999999,2.8,5.2,7.9,1.6,0.4,1.7,1.3,1.4,13.2,22.5,0.695,0.021,0.695,12.6,25.5,19.1,9.0,0.9,5.5,14.8,17.1,2.3,0.8,3.1,0.203,2.3,0.4,2.7,0.9
Jarrett Allen,0,22,CLE,16,5,25.9,4.9,7.8,0.624,0.1,0.3,0.25,4.8,7.6,0.636,0.628,3.4,4.4,0.7609999999999999,2.8,5.2,7.9,1.6,0.4,1.7,1.3,1.4,13.2,21.3,0.73,0.0,0.938,14.2,28.8,21.9,8.2,1.0,4.9,19.3,15.4,1.0,0.4,1.4,0.21,1.3,0.6,1.9,0.3
Jarrett Allen,0,22,CLE,16,5,25.9,4.9,7.8,0.624,0.1,0.3,0.25,4.8,7.6,0.636,0.628,3.4,4.4,0.7609999999999999,2.8,5.2,7.9,1.6,0.4,1.7,1.3,1.4,13.2,23.5,0.675,0.032,0.568,11.4,23.0,17.0,9.7,0.7,5.9,11.8,18.4,1.3,0.4,1.7,0.19699999999999998,3.2,0.2,3.4,0.6
Deandre Ayton,0,22,PHO,27,27,32.1,6.1,10.3,0.59,0.1,0.6,0.25,5.9,9.7,0.611,0.597,1.6,2.3,0.721,3.7,8.6,12.2,1.8,0.3,1.0,2.1,3.4,13.9,17.7,0.617,0.057999999999999996,0.21899999999999997,13.0,28.9,21.1,8.4,0.5,2.8,15.8,18.8,1.4,1.3,2.7,0.14800000000000002,-0.5,-0.3,-0.8,0.2
