Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Precious Achiuwa,4,21,MIA,28,2,14.6,2.6,4.4,0.59,0.0,0.0,0.0,2.6,4.4,0.59,0.59,1.3,2.4,0.561,1.3,2.7,4.0,0.6,0.4,0.5,1.0,1.9,6.5,15.1,0.599,0.0,0.541,10.5,19.8,15.4,6.8,1.4,3.8,16.1,19.7,0.3,0.6,0.9,0.10099999999999999,-2.8,-0.2,-3.0,-0.1
Al-Farouq Aminu,4,30,ORL,2,0,8.0,0.5,0.5,1.0,0.5,0.5,1.0,0.0,0.0,0.0,1.5,0.0,1.0,0.0,0.5,1.5,2.0,1.0,0.0,0.0,1.0,0.0,1.5,7.5,0.7979999999999999,1.0,2.0,6.2,20.3,13.0,16.7,0.0,0.0,51.5,10.3,0.0,0.0,0.0,-0.034,-3.4,0.1,-3.3,0.0
Kyle Anderson,4,27,MEM,24,24,28.1,5.0,10.7,0.467,1.7,4.3,0.38799999999999996,3.3,6.4,0.519,0.545,2.1,2.7,0.7809999999999999,0.9,5.3,6.3,3.8,1.1,0.8,1.4,1.8,13.8,17.8,0.579,0.401,0.249,3.5,21.5,12.2,19.4,1.9,2.5,10.7,20.1,1.1,0.8,1.9,0.134,1.9,1.1,2.9,0.8
Giannis Antetokounmpo,4,26,MIL,27,27,33.6,10.3,18.4,0.563,1.1,4.0,0.29,9.2,14.4,0.638,0.594,6.4,9.9,0.642,1.7,9.7,11.4,5.8,1.3,1.3,3.7,3.1,28.2,28.3,0.62,0.21600000000000003,0.54,5.6,29.8,18.0,27.5,1.8,3.5,13.9,33.0,2.7,1.5,4.3,0.226,5.2,2.0,7.2,2.1
Kostas Antetokounmpo,4,23,LAL,1,0,8.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,-9.1,0.0,0.0,0.0,0.0,54.1,28.0,0.0,0.0,21.3,50.0,21.7,-0.1,0.0,-0.1,-0.40700000000000003,-19.3,2.0,-17.3,0.0
Carmelo Anthony,4,36,POR,27,3,25.3,4.6,11.7,0.396,1.7,4.5,0.377,2.9,7.2,0.40700000000000003,0.46799999999999997,2.4,2.8,0.8420000000000001,0.6,2.9,3.5,1.3,0.8,0.8,0.9,2.1,13.3,13.8,0.515,0.386,0.24100000000000002,2.2,12.9,7.3,7.7,1.5,2.9,6.7,23.5,0.3,0.4,0.7,0.047,-1.2,-1.8,-3.1,-0.2
Marvin Bagley III,4,21,SAC,25,25,24.9,5.1,10.8,0.47600000000000003,1.0,2.8,0.371,4.1,8.0,0.513,0.524,1.5,2.9,0.514,2.1,5.3,7.4,0.9,0.5,0.5,1.5,2.5,12.8,13.9,0.53,0.26,0.268,9.0,23.4,16.2,5.3,0.9,1.6,11.0,23.1,0.0,0.2,0.3,0.02,-1.8,-2.8,-4.6,-0.4
Harrison Barnes,4,28,SAC,27,27,35.1,5.3,11.0,0.48,1.7,4.3,0.38799999999999996,3.6,6.7,0.539,0.556,3.6,4.3,0.843,1.1,5.1,6.2,3.4,0.8,0.2,1.4,1.1,15.8,15.7,0.615,0.392,0.389,3.3,16.2,9.7,13.2,1.1,0.4,9.9,17.3,2.0,0.1,2.0,0.102,1.6,-1.5,0.1,0.5
Darius Bazley,4,20,OKC,28,28,31.1,4.5,11.5,0.39299999999999996,1.5,5.3,0.28600000000000003,3.0,6.3,0.483,0.45799999999999996,1.6,2.1,0.767,0.5,6.9,7.4,1.8,0.5,0.7,1.8,1.0,12.2,9.6,0.489,0.455,0.18600000000000003,1.8,22.7,12.4,8.7,0.7,2.0,12.3,19.8,-1.1,1.0,-0.1,-0.003,-3.1,-0.9,-4.0,-0.4
Nemanja Bjelica,4,32,SAC,13,0,16.2,2.3,5.2,0.44799999999999995,0.5,2.0,0.26899999999999996,1.8,3.2,0.561,0.5,1.8,2.2,0.821,0.9,2.8,3.8,2.2,0.0,0.2,1.2,1.8,6.9,12.6,0.5670000000000001,0.38799999999999996,0.418,6.2,19.4,12.7,18.0,0.0,0.8,16.8,19.3,0.2,0.0,0.2,0.049,-1.4,-1.9,-3.4,-0.1
Bol Bol,4,21,DEN,12,2,5.4,0.6,1.3,0.43799999999999994,0.2,0.5,0.33299999999999996,0.4,0.8,0.5,0.5,0.1,0.2,0.5,0.0,0.8,0.8,0.2,0.1,0.3,0.4,0.6,1.4,4.7,0.504,0.375,0.125,0.0,15.7,7.8,4.0,0.8,5.9,22.9,14.6,-0.1,0.1,-0.1,-0.040999999999999995,-6.1,-1.0,-7.2,-0.1
Jarrell Brantley,4,24,UTA,8,0,2.8,0.4,1.0,0.375,0.4,0.8,0.5,0.0,0.3,0.0,0.563,0.0,0.0,0.0,0.1,0.4,0.5,0.0,0.1,0.1,0.1,0.5,1.1,10.3,0.563,0.75,0.0,5.0,13.8,9.6,0.0,2.2,3.6,11.1,17.5,0.0,0.0,0.0,0.09699999999999999,-2.3,0.9,-1.5,0.0
Miles Bridges,4,22,CHO,28,2,26.7,3.8,8.0,0.469,1.3,3.5,0.364,2.5,4.5,0.552,0.5489999999999999,1.1,1.2,0.9390000000000001,1.3,4.5,5.8,1.9,0.7,0.8,1.8,2.4,9.9,12.0,0.581,0.442,0.147,5.2,18.1,11.6,10.2,1.3,3.0,17.0,16.4,0.3,0.8,1.1,0.07,-1.8,-0.3,-2.1,0.0
Bruno Caboclo,4,25,HOU,6,0,6.0,1.3,2.8,0.47100000000000003,0.0,0.8,0.0,1.3,2.0,0.667,0.47100000000000003,0.2,0.3,0.5,0.5,1.8,2.3,0.2,0.0,0.3,0.7,1.0,2.8,9.2,0.475,0.294,0.11800000000000001,8.7,32.7,20.6,4.7,0.0,4.8,18.3,25.9,-0.1,0.1,0.0,-0.055,-8.5,-2.1,-10.6,-0.1
Devontae Cacok,4,24,LAL,1,0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,38.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.7,0.0,0.0,0.0,0.342,14.1,3.9,18.0,0.0
Vlatko Cancar,4,23,DEN,13,0,3.5,0.2,1.1,0.214,0.1,0.6,0.125,0.2,0.5,0.33299999999999996,0.25,0.1,0.2,0.5,0.2,0.7,0.9,0.1,0.3,0.2,0.4,0.2,0.6,2.1,0.26899999999999996,0.5710000000000001,0.14300000000000002,7.5,22.7,15.1,2.7,4.4,4.3,25.2,19.2,-0.2,0.1,-0.1,-0.158,-9.6,-0.7,-10.3,-0.1
Marquese Chriss,4,23,GSW,2,0,13.5,2.5,7.0,0.35700000000000004,0.5,2.5,0.2,2.0,4.5,0.444,0.39299999999999996,1.0,2.0,0.5,1.5,5.0,6.5,1.0,0.0,1.0,1.0,1.5,6.5,11.9,0.41200000000000003,0.35700000000000004,0.28600000000000003,11.8,38.0,25.2,11.0,0.0,6.5,11.3,27.9,-0.1,0.1,0.0,-0.023,-2.2,-1.0,-3.2,0.0
Brandon Clarke,4,24,MEM,20,13,27.2,5.6,11.1,0.5,0.6,1.8,0.306,5.0,9.3,0.5379999999999999,0.525,1.3,2.1,0.634,1.6,4.0,5.6,1.8,1.2,0.8,0.7,1.7,13.0,16.6,0.539,0.162,0.185,6.3,16.5,11.3,9.8,2.1,2.5,5.5,19.9,0.6,0.6,1.2,0.107,-0.3,0.0,-0.3,0.2
John Collins,4,23,ATL,28,28,31.6,7.1,13.0,0.547,1.4,3.4,0.41100000000000003,5.7,9.6,0.595,0.6,2.6,3.0,0.867,2.2,5.4,7.6,1.6,0.5,1.0,1.4,3.4,18.2,19.3,0.635,0.261,0.228,7.5,18.2,12.9,8.4,0.7,2.7,8.9,21.2,2.2,0.8,3.0,0.162,2.2,-0.4,1.8,0.8
Robert Covington,4,30,POR,26,26,31.4,2.7,7.2,0.371,1.7,5.1,0.33299999999999996,1.0,2.1,0.46299999999999997,0.489,0.6,0.7,0.889,0.8,5.4,6.2,1.8,1.6,0.9,1.0,2.6,7.6,10.0,0.511,0.71,0.09699999999999999,2.5,19.1,10.4,7.5,2.5,2.7,12.2,11.6,0.1,0.8,0.9,0.054000000000000006,-2.6,0.9,-1.7,0.1
Jae Crowder,4,30,PHO,24,16,27.9,3.4,8.9,0.379,2.4,6.9,0.345,1.0,2.0,0.49,0.512,1.2,1.4,0.848,0.4,4.8,5.2,2.2,0.9,0.2,0.8,2.0,10.3,11.5,0.54,0.7709999999999999,0.154,1.7,18.6,10.3,10.6,1.6,0.7,7.7,16.6,0.4,0.9,1.3,0.092,-0.3,0.6,0.3,0.4
Anthony Davis,4,27,LAL,23,23,32.8,8.9,16.7,0.5329999999999999,0.7,2.5,0.293,8.1,14.1,0.575,0.555,4.0,5.7,0.715,2.0,6.3,8.4,3.0,1.3,1.8,2.0,1.8,22.5,24.7,0.588,0.151,0.33899999999999997,7.2,20.9,14.3,15.5,2.0,4.6,9.3,27.9,1.6,1.7,3.3,0.212,4.3,2.1,6.4,1.6
DeMar DeRozan,4,31,SAS,25,25,33.4,6.6,13.4,0.488,0.6,1.9,0.33299999999999996,5.9,11.5,0.514,0.512,6.0,6.8,0.893,0.8,4.2,5.0,6.9,0.8,0.3,1.6,1.8,19.8,21.7,0.603,0.14300000000000002,0.503,2.3,13.5,7.8,30.8,1.1,0.8,9.1,23.2,2.7,0.8,3.5,0.19899999999999998,3.9,-0.1,3.8,1.2
Sekou Doumbouya,4,20,DET,24,1,13.1,1.5,4.3,0.353,0.4,1.6,0.256,1.1,2.6,0.413,0.402,0.7,1.0,0.7390000000000001,0.6,1.8,2.4,0.6,0.4,0.1,0.7,1.5,4.1,6.1,0.441,0.382,0.225,5.1,16.0,10.4,6.6,1.6,0.6,12.5,17.7,-0.4,0.3,-0.1,-0.022000000000000002,-5.6,-2.0,-7.5,-0.4
Jared Dudley,4,35,LAL,6,0,3.7,0.2,0.2,1.0,0.2,0.2,1.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.2,0.8,1.0,0.2,0.0,0.0,0.0,0.0,0.5,11.5,1.5,1.0,0.0,5.3,24.6,15.3,5.5,0.0,0.0,0.0,2.0,0.0,0.0,0.1,0.17800000000000002,2.2,-0.5,1.7,0.0
Kevin Durant,4,32,BRK,19,18,35.7,9.9,18.9,0.524,2.6,5.9,0.434,7.3,12.9,0.565,0.5920000000000001,6.6,7.6,0.8690000000000001,0.4,6.9,7.3,5.3,0.7,1.4,3.5,2.3,29.0,25.1,0.652,0.315,0.40399999999999997,1.2,20.6,11.5,23.5,1.0,3.3,13.7,31.2,2.0,0.6,2.6,0.182,5.4,0.0,5.4,1.2
Dorian Finney-Smith,4,27,DAL,19,19,30.7,3.3,7.4,0.45,1.9,5.1,0.381,1.4,2.3,0.605,0.5820000000000001,0.5,0.6,0.833,1.5,3.3,4.8,1.2,1.0,0.4,0.6,2.7,9.1,11.0,0.595,0.693,0.086,5.2,11.9,8.6,5.4,1.6,1.3,7.6,11.8,0.7,0.3,1.0,0.085,-0.3,-0.6,-0.9,0.2
Wenyen Gabriel,4,23,NOP,3,0,3.3,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.3,1.0,1.3,0.3,0.0,0.0,0.0,0.0,0.0,-1.4,0.0,0.33299999999999996,0.0,11.1,33.3,22.2,11.4,0.0,0.0,0.0,12.8,0.0,0.0,0.0,-0.17800000000000002,-7.1,-5.6,-12.7,0.0
Daniel Gafford,4,22,CHI,23,11,14.3,2.1,3.2,0.6709999999999999,0.0,0.0,0.0,2.1,3.2,0.6709999999999999,0.6709999999999999,1.1,1.6,0.6759999999999999,1.4,1.9,3.3,0.7,0.5,1.3,0.8,2.0,5.3,17.6,0.6890000000000001,0.0,0.507,11.3,14.2,12.8,6.7,1.6,7.8,16.8,13.8,0.7,0.5,1.2,0.172,-1.4,1.6,0.2,0.2
Danilo Gallinari,4,32,ATL,16,1,19.7,3.0,7.6,0.397,1.6,4.3,0.377,1.4,3.3,0.423,0.504,3.1,3.3,0.9420000000000001,0.2,2.7,2.9,1.1,0.2,0.1,1.2,1.9,10.7,12.5,0.594,0.57,0.43,1.0,14.6,7.9,8.6,0.5,0.5,11.7,22.0,0.4,0.2,0.5,0.083,-0.4,-2.2,-2.6,-0.1
Rudy Gay,4,34,SAS,26,0,22.0,4.2,9.9,0.419,1.6,4.3,0.366,2.6,5.6,0.45899999999999996,0.498,1.3,1.7,0.767,0.9,4.3,5.2,1.5,0.7,0.5,1.2,1.8,11.2,13.9,0.524,0.434,0.16699999999999998,4.2,20.6,12.2,10.1,1.5,1.9,9.8,23.0,-0.1,0.8,0.7,0.057999999999999996,-0.6,-0.7,-1.3,0.1
