Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Jaylen Adams,5,24,MIL,6,0,2.8,0.2,1.3,0.125,0.0,0.3,0.0,0.2,1.0,0.16699999999999998,0.125,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.0,0.0,0.0,0.2,0.3,-6.9,0.125,0.25,0.0,0.0,18.2,9.4,13.4,0.0,0.0,0.0,19.7,-0.1,0.0,-0.1,-0.265,-15.6,-5.2,-20.9,-0.1
Cole Anthony,5,20,ORL,25,17,26.7,4.0,10.8,0.375,1.1,3.3,0.325,3.0,7.4,0.39799999999999996,0.426,1.8,2.2,0.836,0.8,3.6,4.4,3.8,0.7,0.4,2.0,2.0,11.0,10.3,0.469,0.309,0.204,3.0,14.7,8.6,21.4,1.2,1.5,14.8,22.0,-0.6,0.6,0.0,0.0,-3.0,-1.1,-4.1,-0.4
Ryan Arcidiacono,5,26,CHI,11,0,9.7,0.8,2.2,0.375,0.5,1.5,0.375,0.3,0.7,0.375,0.5,0.4,0.5,0.8,0.1,1.9,2.0,1.5,0.3,0.0,0.2,0.9,2.5,11.2,0.534,0.667,0.20800000000000002,1.1,21.4,11.4,20.1,1.3,0.0,7.1,11.2,0.2,0.1,0.3,0.11900000000000001,-2.5,0.9,-1.6,0.0
D.J. Augustin,5,33,MIL,27,0,17.8,1.7,5.1,0.336,1.2,3.3,0.364,0.5,1.8,0.28600000000000003,0.45299999999999996,1.3,1.4,0.895,0.4,0.8,1.2,3.0,0.5,0.0,0.8,0.7,5.9,10.8,0.514,0.642,0.27699999999999997,2.5,4.7,3.6,20.0,1.3,0.2,12.5,15.3,0.6,0.3,0.8,0.083,-0.5,-1.6,-2.2,0.0
LaMelo Ball,5,19,CHO,28,8,27.7,5.4,12.4,0.43700000000000006,1.8,5.1,0.354,3.6,7.3,0.495,0.51,2.0,2.5,0.797,1.5,4.6,6.2,6.1,1.5,0.4,2.7,2.6,14.6,18.2,0.542,0.414,0.198,5.8,18.2,11.9,33.8,2.7,1.3,16.5,24.8,0.8,1.0,1.8,0.113,1.8,1.0,2.8,0.9
Lonzo Ball,5,23,NOP,25,25,30.9,5.2,12.2,0.424,2.9,7.6,0.381,2.3,4.6,0.496,0.5429999999999999,0.8,1.1,0.741,0.6,3.7,4.3,4.7,1.2,0.5,2.0,2.5,14.0,14.2,0.5539999999999999,0.622,0.08900000000000001,2.3,13.2,7.8,21.5,2.0,1.6,13.9,20.2,0.8,0.5,1.2,0.077,0.3,-0.4,-0.2,0.4
Patrick Beverley,5,32,LAC,20,20,24.2,2.7,6.2,0.435,1.8,4.0,0.44299999999999995,1.0,2.3,0.42200000000000004,0.5770000000000001,1.1,1.5,0.759,1.0,3.2,4.2,2.2,1.0,0.8,0.8,3.4,8.3,13.7,0.603,0.637,0.23399999999999999,4.8,14.5,9.8,11.7,2.0,2.8,9.9,13.9,0.9,0.6,1.5,0.151,-0.1,0.9,0.8,0.3
Jordan Bone,5,23,ORL,14,0,14.0,1.6,3.9,0.426,0.7,2.3,0.313,0.9,1.6,0.591,0.519,0.0,0.0,0.0,0.3,1.4,1.7,1.3,0.1,0.0,0.2,0.8,4.0,9.0,0.519,0.593,0.0,2.0,11.0,6.3,13.3,0.5,0.0,5.3,12.4,0.2,0.1,0.3,0.062,-2.6,-1.6,-4.2,-0.1
Malcolm Brogdon,5,28,IND,29,29,36.0,8.1,18.4,0.442,2.7,6.7,0.395,5.5,11.7,0.469,0.514,2.7,2.9,0.9059999999999999,0.8,4.1,4.8,6.6,1.3,0.3,2.1,1.9,21.6,18.3,0.5479999999999999,0.365,0.159,2.4,12.3,7.4,28.1,1.7,0.7,9.5,26.2,1.5,1.0,2.5,0.115,3.0,-1.1,2.0,1.0
Bruce Brown,5,24,BRK,26,13,19.2,2.7,4.9,0.555,0.2,0.8,0.182,2.6,4.1,0.632,0.57,0.8,1.1,0.69,1.3,3.1,4.4,1.0,0.7,0.4,0.8,1.8,6.4,12.8,0.59,0.172,0.22699999999999998,7.9,17.2,12.8,7.1,1.6,1.7,13.5,14.1,0.5,0.4,0.9,0.091,-2.1,-0.8,-2.8,-0.1
