Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Thanasis Antetokounmpo,6,28,MIL,18,0,8.3,0.9,1.4,0.654,0.1,0.4,0.28600000000000003,0.8,1.1,0.789,0.6920000000000001,0.2,0.4,0.5710000000000001,0.7,1.0,1.7,0.8,0.3,0.2,0.8,1.4,2.2,10.3,0.688,0.26899999999999996,0.26899999999999996,9.5,12.5,11.0,12.2,1.6,1.8,34.0,12.4,0.1,0.2,0.2,0.079,-3.3,0.1,-3.2,0.0
OG Anunoby,6,23,TOR,18,18,34.4,5.1,10.3,0.489,2.4,5.7,0.431,2.6,4.7,0.56,0.608,2.0,2.7,0.75,1.6,4.3,5.9,1.6,2.0,0.6,1.7,2.9,14.6,14.7,0.632,0.5479999999999999,0.258,5.0,14.2,9.5,6.5,2.8,1.6,13.0,16.4,0.8,0.7,1.5,0.11800000000000001,0.3,0.9,1.1,0.5
Deni Avdija,6,20,WAS,22,16,22.9,2.5,6.0,0.424,1.2,3.5,0.355,1.3,2.5,0.518,0.527,0.5,0.9,0.579,0.5,4.4,4.9,1.6,0.8,0.2,0.8,2.8,6.8,8.9,0.534,0.5760000000000001,0.14400000000000002,2.4,20.7,11.2,9.4,1.6,0.7,11.4,13.0,0.1,0.4,0.5,0.044000000000000004,-2.9,-0.6,-3.5,-0.2
Will Barton,6,30,DEN,25,21,29.8,4.4,10.0,0.436,1.6,4.0,0.40399999999999997,2.8,6.0,0.457,0.516,1.3,1.8,0.75,0.5,3.2,3.7,3.2,0.8,0.4,1.5,1.8,11.6,11.6,0.54,0.396,0.17600000000000002,1.8,12.4,7.1,14.7,1.3,1.4,12.4,17.9,0.4,0.5,0.9,0.06,-0.9,-1.3,-2.2,0.0
Keita Bates-Diop,6,25,SAS,8,0,3.4,0.0,1.1,0.0,0.0,0.5,0.0,0.0,0.6,0.0,0.0,0.6,0.8,0.833,0.1,0.3,0.4,0.3,0.1,0.0,0.0,0.0,0.6,0.3,0.215,0.444,0.667,3.7,7.9,5.8,8.6,1.8,0.0,0.0,18.5,-0.1,0.0,-0.1,-0.151,-8.2,-4.4,-12.5,-0.1
Nicolas Batum,6,32,LAC,27,27,29.9,3.3,6.8,0.49200000000000005,2.1,4.6,0.456,1.2,2.1,0.569,0.648,1.0,1.1,0.867,0.9,4.0,4.9,2.3,1.4,0.4,0.7,1.7,9.7,14.8,0.67,0.6829999999999999,0.16399999999999998,3.4,14.6,9.2,10.3,2.3,1.1,8.8,11.8,1.8,1.0,2.7,0.163,1.5,0.5,2.0,0.8
Kent Bazemore,6,31,GSW,27,0,16.6,2.5,4.9,0.515,1.0,2.3,0.45899999999999996,1.5,2.6,0.563,0.621,0.9,1.1,0.8,0.5,2.6,3.1,1.6,0.8,0.6,1.0,2.2,7.0,14.7,0.647,0.462,0.22699999999999998,3.1,16.3,9.8,13.6,2.3,3.1,16.2,16.4,0.5,0.7,1.2,0.133,-0.8,2.2,1.5,0.4
DeAndre' Bembry,6,26,TOR,19,0,13.7,1.7,2.8,0.611,0.4,0.7,0.5,1.4,2.1,0.65,0.6759999999999999,0.3,0.6,0.545,0.4,1.2,1.6,1.6,0.6,0.3,0.6,1.3,4.2,13.2,0.6709999999999999,0.259,0.204,3.3,9.6,6.4,16.1,2.2,2.0,16.9,11.6,0.4,0.2,0.7,0.12300000000000001,-1.0,1.2,0.2,0.1
Saddiq Bey,6,21,DET,26,9,20.3,2.9,7.0,0.418,1.9,4.7,0.413,1.0,2.3,0.426,0.555,1.5,1.8,0.826,0.4,3.2,3.7,1.0,0.5,0.0,0.7,1.3,9.2,13.0,0.593,0.665,0.253,2.2,18.6,10.1,7.4,1.3,0.2,8.6,18.1,0.6,0.4,1.0,0.092,0.6,-0.7,-0.1,0.3
Tyler Bey,6,22,DAL,4,0,3.3,0.5,1.3,0.4,0.0,0.0,0.0,0.5,1.3,0.4,0.4,0.5,1.0,0.5,0.5,0.3,0.8,0.0,0.0,0.3,0.0,0.5,1.5,14.0,0.444,0.0,0.8,16.8,8.5,12.7,0.0,0.0,7.3,0.0,22.8,0.0,0.0,0.0,0.057,-1.1,-3.4,-4.5,0.0
Keljin Blevins,6,25,POR,8,0,4.8,0.1,1.1,0.111,0.0,0.4,0.0,0.1,0.8,0.16699999999999998,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.0,0.4,0.5,0.3,-6.0,0.111,0.33299999999999996,0.0,0.0,0.0,0.0,12.7,2.6,0.0,25.0,13.5,-0.2,0.0,-0.2,-0.23800000000000002,-12.3,-3.3,-15.6,-0.1
Bojan Bogdanovic,6,31,UTA,29,29,30.7,5.0,12.1,0.41600000000000004,2.6,6.6,0.387,2.5,5.5,0.45,0.521,2.6,3.0,0.8640000000000001,0.5,3.5,4.0,2.1,0.4,0.0,1.5,1.5,15.2,12.3,0.5670000000000001,0.544,0.251,1.7,11.5,6.8,9.9,0.7,0.1,10.1,20.9,1.0,0.9,2.0,0.105,-0.5,-1.1,-1.7,0.1
Isaac Bonga,6,21,WAS,17,7,13.5,0.8,2.1,0.389,0.5,1.3,0.409,0.3,0.8,0.35700000000000004,0.514,0.1,0.2,0.667,0.5,1.8,2.2,0.5,0.2,0.2,0.4,1.6,2.3,5.0,0.523,0.611,0.083,3.5,14.2,8.6,4.9,0.8,1.5,15.8,8.0,0.0,0.1,0.1,0.021,-4.6,-1.6,-6.2,-0.2
Brian Bowen,6,22,IND,1,0,5.0,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,17.8,0.615,0.0,0.5,0.0,21.7,11.0,0.0,0.0,0.0,0.0,21.2,0.0,0.0,0.0,0.16,0.5,-2.4,-1.8,0.0
Ignas Brazdeikis,6,22,NYK,4,0,1.8,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.5,0.5,1.0,0.3,0.3,0.5,0.3,0.0,0.0,0.3,0.0,0.5,11.4,0.532,0.0,2.0,15.2,14.7,15.0,17.8,0.0,0.0,34.7,18.2,0.0,0.0,0.0,0.03,-2.9,-1.9,-4.8,0.0
Mikal Bridges,6,24,PHO,27,27,33.3,5.1,10.1,0.504,2.0,4.9,0.39799999999999996,3.1,5.1,0.604,0.601,2.0,2.4,0.833,1.4,4.0,5.3,2.1,0.6,1.0,0.7,1.9,14.1,16.3,0.634,0.489,0.243,4.7,12.9,8.9,9.1,0.9,2.6,6.2,16.0,2.0,1.0,3.1,0.16399999999999998,2.1,0.5,2.5,1.0
Dillon Brooks,6,25,MEM,24,24,29.2,6.1,15.4,0.397,1.9,6.0,0.319,4.2,9.4,0.447,0.45899999999999996,1.7,2.1,0.8,1.0,2.2,3.3,2.6,1.3,0.4,2.3,3.3,15.8,10.3,0.485,0.389,0.135,3.8,8.6,6.1,13.2,2.2,1.2,12.3,27.1,-0.9,0.6,-0.3,-0.022000000000000002,-3.5,-2.1,-5.6,-0.6
Troy Brown Jr.,6,21,WAS,13,0,15.8,1.7,4.8,0.355,0.8,2.8,0.306,0.8,2.0,0.423,0.444,0.5,0.9,0.583,0.6,2.8,3.5,1.0,0.2,0.2,0.9,1.8,4.8,5.4,0.461,0.581,0.19399999999999998,3.9,19.6,11.5,8.5,0.5,0.8,15.1,16.0,-0.2,0.1,-0.1,-0.034,-4.1,-2.3,-6.3,-0.2
Reggie Bullock,6,29,NYK,25,25,26.8,3.1,7.6,0.41100000000000003,1.8,4.6,0.38299999999999995,1.4,3.0,0.45299999999999996,0.526,0.5,0.6,0.813,0.3,3.2,3.5,1.4,0.7,0.2,0.7,2.5,8.5,8.9,0.54,0.605,0.084,1.1,12.3,6.8,7.4,1.3,0.9,8.4,14.2,0.2,0.8,1.0,0.07400000000000001,-2.4,0.7,-1.7,0.1
Jimmy Butler,6,31,MIA,16,16,32.9,6.0,13.7,0.43799999999999994,0.3,1.5,0.16699999999999998,5.8,12.2,0.47200000000000003,0.447,7.2,8.4,0.858,1.8,5.9,7.7,7.4,1.9,0.4,2.1,1.1,19.4,24.2,0.5589999999999999,0.11,0.612,6.5,19.0,13.1,36.8,2.9,1.2,10.9,26.4,1.5,0.8,2.3,0.213,3.3,2.5,5.8,1.0
Gary Clark,6,26,ORL,26,11,21.0,1.2,3.9,0.294,0.9,3.3,0.264,0.3,0.6,0.467,0.40700000000000003,0.2,0.3,0.857,1.1,2.5,3.6,0.9,0.3,0.2,0.6,1.1,3.4,5.3,0.423,0.853,0.069,5.3,12.7,8.8,5.8,0.8,0.8,12.5,9.4,-0.2,0.4,0.2,0.013999999999999999,-4.3,-1.2,-5.5,-0.5
Torrey Craig,6,30,MIL,15,0,11.7,1.1,2.5,0.45899999999999996,0.5,1.2,0.444,0.6,1.3,0.474,0.568,0.1,0.1,0.5,0.8,1.8,2.6,0.8,0.5,0.3,0.3,1.5,2.9,11.6,0.568,0.486,0.054000000000000006,7.5,15.9,11.8,8.2,2.2,2.6,11.7,10.3,0.2,0.2,0.4,0.12300000000000001,-1.4,1.2,-0.2,0.1
CJ Elleby,6,20,POR,12,0,8.0,1.2,2.4,0.483,0.4,1.5,0.278,0.8,0.9,0.818,0.569,0.5,0.8,0.667,0.3,0.7,1.0,0.3,0.3,0.3,0.3,1.3,3.3,12.2,0.5920000000000001,0.621,0.31,4.2,9.3,6.7,4.4,1.5,2.9,8.3,16.0,0.1,0.0,0.2,0.08900000000000001,-2.4,-0.5,-3.0,0.0
James Ennis,6,30,ORL,20,19,21.9,2.6,5.2,0.495,0.9,1.9,0.447,1.7,3.3,0.523,0.578,1.3,1.6,0.8390000000000001,1.2,2.6,3.8,1.4,1.0,0.3,1.0,2.2,7.3,12.7,0.622,0.369,0.301,5.2,12.8,8.9,8.9,2.1,1.2,14.6,13.3,0.5,0.5,1.0,0.11,-2.3,0.7,-1.6,0.0
Evan Fournier,6,28,ORL,15,15,28.7,5.8,12.9,0.451,2.3,6.2,0.366,3.5,6.7,0.53,0.539,4.0,5.0,0.8,0.3,2.3,2.5,3.6,1.0,0.4,2.1,2.3,17.9,17.5,0.593,0.48200000000000004,0.389,0.9,8.5,4.6,20.7,1.7,1.3,12.1,25.5,0.7,0.4,1.0,0.11599999999999999,1.4,-1.0,0.5,0.3
Paul George,6,30,LAC,20,20,34.0,8.4,16.6,0.508,3.8,7.9,0.478,4.7,8.7,0.534,0.621,3.8,4.2,0.905,0.7,5.6,6.2,5.5,1.2,0.5,3.6,2.3,24.4,23.2,0.662,0.474,0.254,2.2,17.8,10.2,25.7,1.7,1.2,16.4,28.6,1.8,0.8,2.6,0.185,5.7,-0.4,5.4,1.3
Jerami Grant,6,26,DET,28,28,36.3,7.9,17.8,0.44299999999999995,2.6,6.6,0.387,5.3,11.2,0.47600000000000003,0.515,5.4,6.1,0.883,0.8,4.4,5.3,2.9,0.8,1.2,1.7,2.8,23.8,18.7,0.579,0.373,0.34299999999999997,2.4,14.3,8.1,14.2,1.1,3.1,7.7,26.5,1.9,0.9,2.7,0.13,3.2,-0.6,2.6,1.1
