Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
Ty-Shon Alexander,8,22,PHO,3,0,2.7,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.3,0.0,-11.9,0.0,0.33299999999999996,0.0,0.0,13.6,6.9,14.7,0.0,0.0,0.0,16.8,-0.1,0.0,-0.1,-0.327,-16.4,-4.8,-21.2,0.0
Nickeil Alexander-Walker,8,22,NOP,23,3,19.2,3.3,8.2,0.41,1.0,3.8,0.276,2.3,4.4,0.525,0.473,1.1,1.4,0.7809999999999999,0.2,2.4,2.7,2.0,1.1,0.3,1.3,1.7,8.8,12.0,0.502,0.46299999999999997,0.17,1.3,14.1,7.7,14.9,2.8,1.9,12.9,22.4,-0.2,0.4,0.2,0.025,-2.6,0.1,-2.5,-0.1
Grayson Allen,8,25,MEM,19,8,23.9,3.2,7.4,0.429,2.3,5.3,0.436,0.8,2.1,0.41,0.586,1.7,1.9,0.892,0.4,2.5,2.9,2.1,1.0,0.2,1.1,1.3,10.4,14.0,0.63,0.721,0.264,1.7,12.0,6.7,11.5,2.0,0.6,11.3,16.5,0.7,0.4,1.1,0.113,0.4,0.1,0.5,0.3
Dwayne Bacon,8,25,ORL,29,20,24.9,4.1,9.6,0.423,1.1,2.9,0.373,3.0,6.8,0.444,0.478,1.5,1.9,0.8,0.4,2.7,3.1,1.0,0.8,0.1,0.7,1.7,10.7,10.7,0.513,0.297,0.19699999999999998,1.7,11.8,6.5,6.4,1.5,0.4,6.2,19.1,0.1,0.6,0.7,0.046,-2.9,-0.9,-3.8,-0.3
Desmond Bane,8,22,MEM,20,2,22.8,3.8,7.8,0.484,2.1,4.3,0.48200000000000004,1.7,3.5,0.486,0.616,0.7,0.9,0.8240000000000001,0.5,2.2,2.7,1.6,0.7,0.2,1.2,1.9,10.3,12.6,0.631,0.5479999999999999,0.11,2.1,10.9,6.4,9.8,1.4,0.6,12.4,17.3,0.5,0.3,0.8,0.08,-0.6,-0.9,-1.5,0.1
RJ Barrett,8,20,NYK,30,30,33.7,6.2,14.6,0.428,1.0,3.4,0.304,5.2,11.2,0.466,0.46299999999999997,3.0,4.0,0.742,1.3,4.9,6.2,3.1,0.7,0.2,1.9,2.5,16.5,13.1,0.504,0.233,0.275,4.1,15.0,9.6,14.7,1.1,0.6,10.4,23.9,0.0,1.2,1.2,0.057999999999999996,-1.6,-0.6,-2.2,0.0
Bradley Beal,8,27,WAS,24,24,35.3,11.4,24.0,0.473,2.5,7.4,0.337,8.9,16.6,0.534,0.525,7.5,8.4,0.8959999999999999,1.4,3.8,5.2,4.7,1.3,0.5,3.1,2.5,32.8,24.8,0.591,0.308,0.348,3.9,11.7,7.7,25.0,1.7,1.2,10.1,36.2,2.0,0.5,2.5,0.141,6.3,-1.4,4.9,1.5
Malik Beasley,8,24,MIN,29,28,32.8,7.7,17.0,0.455,3.4,8.7,0.39799999999999996,4.3,8.3,0.515,0.557,2.0,2.4,0.843,0.9,4.0,4.9,2.5,0.9,0.2,1.7,1.7,20.9,16.7,0.581,0.51,0.142,2.8,13.7,8.0,12.7,1.2,0.4,8.4,25.2,1.2,0.4,1.6,0.081,2.5,-2.1,0.5,0.6
Eric Bledsoe,8,31,NOP,27,26,28.9,4.6,10.5,0.43700000000000006,2.2,5.4,0.401,2.4,5.1,0.474,0.54,1.3,2.0,0.648,0.5,3.1,3.6,3.7,0.7,0.3,1.7,1.5,12.7,12.6,0.556,0.518,0.19,1.8,11.8,6.8,17.7,1.1,0.9,13.2,19.4,0.7,0.2,0.9,0.055,-0.3,-1.7,-2.1,0.0
Bogdan Bogdanovic,8,28,ATL,9,2,23.7,3.3,8.7,0.385,2.3,6.4,0.36200000000000004,1.0,2.2,0.45,0.519,0.9,1.0,0.889,0.2,3.6,3.8,2.1,0.4,0.1,1.2,2.0,9.9,9.9,0.5429999999999999,0.7440000000000001,0.115,1.0,16.0,8.6,13.2,0.9,0.4,11.8,18.6,0.1,0.1,0.2,0.045,-0.8,-1.3,-2.1,0.0
Devin Booker,8,24,PHO,23,23,35.2,9.0,18.2,0.49200000000000005,2.0,5.8,0.353,6.9,12.4,0.556,0.5479999999999999,4.4,5.3,0.8290000000000001,0.2,3.5,3.7,4.4,0.9,0.3,3.5,3.3,24.4,17.2,0.593,0.317,0.294,0.6,10.8,5.8,20.9,1.2,0.8,14.6,30.7,0.6,0.8,1.4,0.08199999999999999,0.2,-1.1,-0.9,0.2
Avery Bradley,8,30,MIA,10,1,21.1,3.1,6.6,0.47,1.6,3.8,0.42100000000000004,1.5,2.8,0.536,0.591,0.7,0.9,0.778,0.2,1.6,1.8,1.4,0.7,0.1,0.9,2.6,8.5,10.4,0.607,0.5760000000000001,0.136,1.1,8.1,4.8,10.3,1.6,0.5,11.4,16.7,0.1,0.2,0.3,0.071,-2.7,-0.6,-3.2,-0.1
Jaylen Brown,8,24,BOS,26,26,33.4,9.9,19.5,0.506,2.4,5.9,0.409,7.5,13.6,0.5479999999999999,0.568,3.7,4.8,0.768,1.2,4.3,5.5,3.6,1.2,0.6,2.8,3.0,25.9,22.3,0.598,0.303,0.24600000000000002,3.9,14.9,9.2,19.5,1.7,1.6,11.6,31.4,1.7,0.9,2.6,0.146,4.9,-0.5,4.4,1.4
Sterling Brown,8,25,HOU,26,1,21.4,2.8,6.2,0.45,1.5,3.8,0.408,1.2,2.4,0.516,0.575,0.4,0.4,1.0,0.8,3.1,3.9,1.8,1.0,0.3,0.7,2.0,7.5,12.9,0.59,0.613,0.063,3.8,15.6,9.6,12.0,2.1,1.1,9.4,13.9,0.7,0.8,1.5,0.127,-1.0,1.0,0.0,0.3
Alec Burks,8,29,NYK,18,3,25.5,3.6,9.0,0.395,2.0,4.9,0.409,1.6,4.1,0.37799999999999995,0.506,1.9,2.4,0.8140000000000001,0.5,4.1,4.6,2.1,0.8,0.3,1.1,1.7,11.1,13.5,0.55,0.5429999999999999,0.265,2.1,16.6,9.5,12.5,1.6,1.1,10.0,19.3,0.4,0.7,1.0,0.107,0.3,0.2,0.5,0.3
Kentavious Caldwell-Pope,8,27,LAL,25,25,25.1,3.0,6.7,0.446,1.6,3.7,0.424,1.4,3.0,0.474,0.563,0.9,1.1,0.852,0.3,1.9,2.2,1.3,0.8,0.3,1.0,1.6,8.5,9.8,0.589,0.5479999999999999,0.161,1.5,8.3,5.0,7.0,1.5,1.1,11.8,14.1,0.4,0.9,1.3,0.10099999999999999,-1.6,-0.1,-1.7,0.1
Michael Carter-Williams,8,29,ORL,10,5,24.6,2.9,8.2,0.354,0.2,1.7,0.11800000000000001,2.7,6.5,0.415,0.366,1.7,2.3,0.7390000000000001,1.8,2.9,4.7,3.0,0.5,0.4,1.6,2.7,7.7,8.2,0.418,0.207,0.28,7.3,12.7,9.9,17.6,1.0,1.5,14.8,18.7,-0.3,0.2,-0.1,-0.013999999999999999,-4.9,-0.8,-5.7,-0.2
Jordan Clarkson,8,28,UTA,29,0,26.2,6.7,14.8,0.45299999999999996,3.2,8.5,0.382,3.4,6.3,0.5489999999999999,0.563,1.6,1.7,0.958,0.9,3.2,4.1,2.1,1.0,0.2,1.9,1.4,18.2,19.0,0.588,0.575,0.11199999999999999,3.9,12.3,8.3,13.5,1.8,0.7,10.7,28.4,1.2,1.1,2.3,0.145,3.4,-0.4,3.0,1.0
Amir Coffey,8,23,LAC,19,0,8.1,1.1,2.1,0.525,0.6,1.1,0.524,0.5,1.0,0.526,0.6629999999999999,0.2,0.5,0.33299999999999996,0.2,0.6,0.8,0.4,0.2,0.0,0.4,0.6,2.9,10.1,0.637,0.525,0.225,2.3,8.5,5.5,7.1,1.3,0.0,15.4,14.9,0.1,0.1,0.2,0.065,-1.7,-1.1,-2.8,0.0
Pat Connaughton,8,28,MIL,25,0,19.0,2.2,5.1,0.43799999999999994,1.3,3.4,0.384,0.9,1.7,0.5479999999999999,0.5660000000000001,0.2,0.3,0.625,0.9,2.9,3.8,1.4,0.7,0.5,0.3,1.3,6.0,13.2,0.57,0.672,0.063,5.0,15.9,10.6,9.0,1.7,2.3,5.1,12.2,0.8,0.5,1.3,0.133,1.0,0.3,1.2,0.4
Jarrett Culver,8,21,MIN,16,7,21.2,3.2,6.9,0.45899999999999996,0.5,1.9,0.258,2.7,5.0,0.5379999999999999,0.495,1.3,2.1,0.606,1.6,3.4,5.0,0.9,0.7,0.4,1.3,2.4,8.1,10.7,0.518,0.27899999999999997,0.297,7.5,18.4,12.7,6.4,1.5,1.5,14.3,18.2,-0.1,0.3,0.1,0.021,-4.2,-1.6,-5.8,-0.3
Seth Curry,8,30,PHI,22,22,29.0,4.6,9.3,0.5,2.1,4.4,0.479,2.5,4.9,0.519,0.613,1.8,1.8,0.975,0.2,1.7,1.9,2.7,0.8,0.3,1.4,1.7,13.1,14.1,0.652,0.47100000000000003,0.196,0.9,6.2,3.6,13.2,1.3,0.8,12.3,16.7,1.2,0.5,1.7,0.125,0.8,-1.2,-0.4,0.3
